ekstep_seen/Ekstep_12_lang_tvnews/eng/33_3099file-idJOStsz8hfks.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/247_3364file-idRdkccNAxBVo.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/492_3364file-idRdkccNAxBVo.wav | True: English | Pred: Punjabi | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/200_3460file-idZySiYgJP8vc.wav | True: English | Pred: Punjabi | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/44_3420file-idVj-qb4iPZaY.wav | True: English | Pred: Punjabi | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/3_14_3518file-idOq04LYWpVJY.wav | True: English | Pred: Punjabi | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/475_3390file-idOWGReNIczT4.wav | True: English | Pred: Punjabi | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/203_3420file-idVj-qb4iPZaY.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/197_3518file-idOq04LYWpVJY.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/2_156_3572file-idH20UrMpZ9DY.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/120_3419file-id0z8yQZmpZAE.wav | True: English | Pred: Punjabi | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/108_3572file-idH20UrMpZ9DY.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/86_3420file-idVj-qb4iPZaY.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/262_3390file-idOWGReNIczT4.wav | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/21_3550file-idMad-xnTt5hY.wav | True: English | Pred: Punjabi | MISMATCH
