File | True Lang | Simple Pred | Enhanced Pred | Simple Match | Enhanced Match
ekstep_seen/Ekstep_12_lang_tvnews/mar/46_975file-idudeNO9XPToM.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/110_2789file-idBANwLul2S1k.wav | Marathi | Malayalam | Bengali | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/35_782file-idWqCQx0yt4pQ.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/0_37_1892file-idHvPG2T1YmPw.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/150_651file-idZ7kt2iAPbS0.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/78_453file-idqSJy1J2KCvQ.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/6_14_1085file-idYLbHexwU4ts.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/2_122_2946file-idbIDbNFkOtWE.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/3_24_308file-iduKPvoCKWkC8.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/3_405file-id3kS_wTM1pHE.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/2_21_313file-idXLnvyhpN5n8.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/62_532file-idAjBD5Bedmow.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/28_1582file-idvHTdDPgcVr8.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/51_938file-idH1fzTx_yczM.wav | Marathi | Bengali | Gujarati | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/37_482file-idNJPN2mDKVLY.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/49_434file-idPmxPqoHyt2M.wav | Marathi | Punjabi | Gujarati | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/3_818file-idhmWE4WZM57o.wav | Marathi | Punjabi | Gujarati | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/0_31_2789file-idBANwLul2S1k.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/5_24_782file-idWqCQx0yt4pQ.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/22_635file-id7IsT23QhaWY.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/24_1582file-idvHTdDPgcVr8.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/91_551file-id0ejP6vPQOgQ.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/21_305file-idAT1y8w9aCyQ.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/5_10_1892file-idHvPG2T1YmPw.wav | Marathi | Punjabi | Gujarati | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/1_12_846file-id9kb8oCWK_h4.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/1_46_409file-idAwTX1FaDFUE.wav | Marathi | Malayalam | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/12_411file-id3ax11buoUqc.wav | Marathi | Punjabi | Gujarati | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/0_33_519file-iddg8Wu8eBoJM.wav | Marathi | Punjabi | Punjabi | MISMATCH | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/mar/465_1917file-idwvvvyQekwx4.wav | Marathi | Punjabi | Bengali | MISMATCH | MISMATCH
