ekstep_seen/Ekstep_12_lang_tvnews/eng/33_3099file-idJOStsz8hfks.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/247_3364file-idRdkccNAxBVo.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/492_3364file-idRdkccNAxBVo.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/200_3460file-idZySiYgJP8vc.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/44_3420file-idVj-qb4iPZaY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/3_14_3518file-idOq04LYWpVJY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/475_3390file-idOWGReNIczT4.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/203_3420file-idVj-qb4iPZaY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/197_3518file-idOq04LYWpVJY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/2_156_3572file-idH20UrMpZ9DY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/120_3419file-id0z8yQZmpZAE.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/108_3572file-idH20UrMpZ9DY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/86_3420file-idVj-qb4iPZaY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/262_3390file-idOWGReNIczT4.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/21_3550file-idMad-xnTt5hY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/28_3485file-idQtUkyUC_oAk.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/331_3364file-idRdkccNAxBVo.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/463_3099file-idJOStsz8hfks.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/231_3419file-id0z8yQZmpZAE.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/8_82_3006file-idVaUtciRvzPU.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/4_81_3508file-idKGIZnCr1sUU.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/462_3411file-id7-0nDgvKXc8.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/384_3423file-idpzEWJnJIYj4.wav | Group: SEEN | True: English | Pred: Bengali | MISMATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/468_3591file-idqPGKar9yEs8.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/6_36_3372file-idzxPl3PGAi58.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/1_42_3372file-idzxPl3PGAi58.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/5_81_3006file-idVaUtciRvzPU.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/0_95_3508file-idKGIZnCr1sUU.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/1_453_3518file-idOq04LYWpVJY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/168_3411file-id7-0nDgvKXc8.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/1_289_3364file-idRdkccNAxBVo.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/4_132_3508file-idKGIZnCr1sUU.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/304_3492file-idpRh2YUvEL6c.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/38_3591file-idqPGKar9yEs8.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/6_129_3372file-idzxPl3PGAi58.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/39_3364file-idRdkccNAxBVo.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/466_3518file-idOq04LYWpVJY.wav | Group: SEEN | True: English | Pred: English | MATCH
ekstep_seen/Ekstep_12_lang_tvnews/eng/46_3442file-idS3aYFjSSbeI.wav | Group: SEEN | True: English | Pred: English | MATCH
